rank,name,currency,issuer,md5,vol24hxrp,marketcap,holders,candidate_source,token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
25,CSC,CSC,rCSCManTZ8ME9EoLrSHHYKW8PPwWMgkwr,70748f54ba5dad10714b39fb6fda4254,7658.395558,2307662.058860175,29238,xrplto_current_vol24hxrp_top80,CSC,rCSCManTZ8ME9EoLrSHHYKW8PPwWMgkwr,1900,17,1818,1818,1441,111,99
59,XRPH,5852504800000000000000000000000000000000,rM8hNqA3jRJ5Zgp3Xf3xzdZcx2G37guiZk,8e6d0300aa44e7b371a5eaba0e8296e4,1879.645646,830190.733819103,6390,xrplto_current_vol24hxrp_top80,5852504800000000000000000000000000000000,rM8hNqA3jRJ5Zgp3Xf3xzdZcx2G37guiZk,1829,40,1791,1791,1469,92,78
41,EVR,EVR,ra9g3LAJm9xJu8Awe7oWzR6VXFB1mpFtSe,1b06023c95a7e9c6d77a5c8f74c7c1c7,3852.514612,845211.7870964244,2458,xrplto_current_vol24hxrp_top80,EVR,ra9g3LAJm9xJu8Awe7oWzR6VXFB1mpFtSe,1602,24,1570,1570,1315,68,56
13,SGB,SGB,rctArjqVvTHihekzDeecKo6mkTYTUSBNc,933d9e99c2fd249926f7c5cf31ac0e3e,20562.352381,127381.93375958953,8193,xrplto_current_vol24hxrp_top80,SGB,rctArjqVvTHihekzDeecKo6mkTYTUSBNc,1386,26,1263,1263,1041,156,149
44,CODED,434F444544000000000000000000000000000000,rnNErmg9xVmcxxNZUwivbJSH6i9GUwYPFj,b710defa811582bc3bee4bd9ffb3fcc4,2972.161586,32169.91974788347,551,xrplto_current_vol24hxrp_top80,434F444544000000000000000000000000000000,rnNErmg9xVmcxxNZUwivbJSH6i9GUwYPFj,1371,20,1371,1371,761,20,20
24,BERT,4245525400000000000000000000000000000000,rpwAnF1mMZRszxdinETFHwzGQiPgsv3jHR,02f683c1b824b619991fa43723a1bf11,7675.834241,285463.3587513536,3445,xrplto_current_vol24hxrp_top80,4245525400000000000000000000000000000000,rpwAnF1mMZRszxdinETFHwzGQiPgsv3jHR,1258,5,1239,1239,722,25,24
50,USDC,5553444300000000000000000000000000000000,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu,96e1cb446d36e77e00e6f9ae2c833533,2473.352013,296529.7265081458,2133,xrplto_current_vol24hxrp_top80,5553444300000000000000000000000000000000,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu,1250,10,851,851,693,414,409
10,SIGMA,5349474D41000000000000000000000000000000,rfKYWZ84fm9eVEdoTcsQCo1WdqMPyaUF5z,281d080d5bc89ce96c75dfc4bc034a0e,22990.183068,707120.7811358146,4232,xrplto_current_vol24hxrp_top80,5349474D41000000000000000000000000000000,rfKYWZ84fm9eVEdoTcsQCo1WdqMPyaUF5z,1106,5,1083,1083,794,28,28
60,scrap,7363726170000000000000000000000000000000,rGHtYnnigyuaHehWGfAdoEhkoirkGNdZzo,85a3c0badae8ad80570efb3b9e2e30e2,1833.465379,228979.71466795955,4693,xrplto_current_vol24hxrp_top80,7363726170000000000000000000000000000000,rGHtYnnigyuaHehWGfAdoEhkoirkGNdZzo,875,10,865,865,470,20,20
45,BOX,BOX,rhLJ2ma5pScsxVhL5EQr71w3FgASVLwP84,f34b16a00980d21c80e4b8b3dbf2424b,2911.36073,46156.67435442133,1226,xrplto_current_vol24hxrp_top80,BOX,rhLJ2ma5pScsxVhL5EQr71w3FgASVLwP84,867,1,867,867,669,1,1
