balanced_rank,token_label,token_currency,token_issuer,dex_tx_count,amm_tx_count,clob_tx_count,both_sides_min_tx,both_sides_hmean_tx,balance_ratio,overlap_tx_count,overlap_share_of_min,amm_unique_ledger_count
28,ARMY,41524D5900000000000000000000000000000000,rGG3wQ4kUzd7Jnmk1n5NWPZjjut62kCBfC,20950,20891,387,387,759.922643105555,0.018524723565171604,328,0.8475452196382429,7908
29,XUSD,5855534400000000000000000000000000000000,rpsMREjEPnBMejecRyTUyn2CEdNyLj7nTp,25950,25611,359,359,708.0746245668079,0.01401741439225333,20,0.055710306406685235,13255
30,USD,USD,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,1999,335,1913,335,570.1556939501779,0.17511761630946157,249,0.7432835820895523,326
31,XPM,XPM,rXPMxBeefHGxx2K7g5qmmWq3gFsgawkoa,3421,334,3137,334,603.7211178334774,0.10647115078100096,50,0.1497005988023952,300
32,USDT,5553445400000000000000000000000000000000,rGbUjUtNVq5M3Un5r4efJqHed4o5P2Usdt,1084,895,319,319,470.3542009884679,0.3564245810055866,130,0.40752351097178685,806
33,Opulence,4F70756C656E6365000000000000000000000000,rs5wxrBTSErywDDfPs5NY4Zorrca5QMGVd,30767,310,30500,310,613.7617656604998,0.010163934426229508,43,0.13870967741935483,250
34,XIO,XIO,rfuzioNFTKArnU1PQD5BEF272vpbHMRoxU,2058,300,1808,300,514.6110056925996,0.16592920353982302,50,0.16666666666666666,204
35,BXE,BXE,rM1J2Mc2eCSFpCz5QXxhDG2KWkGQWgy87r,1487,1311,297,297,484.28731343283584,0.22654462242562928,121,0.4074074074074074,1080
36,Fava,4661766100000000000000000000000000000000,r9gu97UDNkhnzRCzwZxBrxzHhEioaxtf3j,8542,8442,288,288,556.9979381443299,0.03411513859275053,188,0.6527777777777778,4695
37,PIGEONS,504947454F4E5300000000000000000000000000,rfQVVT7X5FynwK87EczgP2T8RQXmQcQSf,2970,2763,285,285,516.7027559055118,0.10314875135722042,78,0.2736842105263158,2236
38,PHNIX,50484E4958000000000000000000000000000000,rDFXbW2ZZCG5WgPtqwNiA2xZokLMm9ivmN,11011,10787,265,265,517.2918928700688,0.024566607954018726,41,0.15471698113207547,7357
39,Teddy,5465646479000000000000000000000000000000,r9Qk4VGodriw2xKLG9sRbTXWgknkz9TkDd,8920,256,8666,256,497.30912351490696,0.029540733902607894,2,0.0078125,216
40,XRPS,5852505300000000000000000000000000000000,rN1bCPAxHDvyJzvkUso1L2wvXufgE4gXPL,696,483,253,253,332.0625,0.5238095238095238,40,0.15810276679841898,321
41,EUR,EUR,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,612,252,402,252,309.79816513761466,0.6268656716417911,42,0.16666666666666666,243
42,coreum7c8eb29e07,636F7265756D3763386562323965303700000000,rxXXXeMX8Gy5YvibvGLnQJ1XKKD7UswM1,1958,1758,249,249,436.2152466367713,0.1416382252559727,49,0.19678714859437751,1143
43,CHILLGUY,4348494C4C475559000000000000000000000000,rnMFxp6fBSzDm13MgKDNKbVy1z2gjiLCh8,583,238,345,238,281.6809605488851,0.6898550724637681,0,0.0,150
44,FPT,FPT,rBXRBN9gSFE4qL6DGWYHgKCLtoMzUVL5cF,32611,220,32395,220,437.03204047217537,0.006791171477079796,4,0.01818181818181818,161
45,AMM,AMM,rpooLMxfvoEPZcPxCfijtK3ZWaux1N1oVL,1148,934,220,220,356.11785095320624,0.23554603854389722,6,0.02727272727272727,744
46,DAB,DAB,rUjZYwUqkYnCphXBRMWsep8Zg47Cz41th1,6515,6371,212,212,410.3454352119095,0.033275780882122116,68,0.32075471698113206,4216
47,Friends,467269656E647300000000000000000000000000,rP1RDrCKQ6uvNbdTEnMPW8D2dYVfVsKKte,5831,5635,212,212,408.62664614332135,0.037622005323868675,16,0.07547169811320754,3697
48,Horizon,486F72697A6F6E00000000000000000000000000,rDKJWtrPqKiMBzK9FTVvebMVec7FJtJLx6,15743,15546,208,208,410.5075536371715,0.013379647497748616,11,0.052884615384615384,13090
49,VGB,VGB,rhcyBrowwApgNonehKBj8Po5z4gTyRknaU,1075,953,205,205,337.41796200345425,0.21511017838405036,83,0.40487804878048783,646
50,HADA,4841444100000000000000000000000000000000,rsR5JSisuXsbipP6sGdKdz5agjxn8BhHUC,410,274,201,201,231.8905263157895,0.7335766423357665,65,0.32338308457711445,231
51,iBTC,6942544300000000000000000000000000000000,rGcyRGrZPaJAZbZDi4NqRFLA5GQH63iFpD,947,752,197,197,312.21074815595364,0.261968085106383,2,0.01015228426395939,736
52,BTC,BTC,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,504,197,342,197,249.99628942486086,0.5760233918128655,35,0.17766497461928935,164
53,RPR,RPR,r3qWgpz2ry3BhcRJ8JE6rxM8esrfhuKp4R,522,365,187,187,247.30072463768116,0.5123287671232877,30,0.16042780748663102,329
54,HADALITE,484144414C495445000000000000000000000000,rHiPGSMBbzDGpoTPmk2dXaTk12ZV1pLVCZ,339,183,222,183,200.62222222222223,0.8243243243243243,66,0.36065573770491804,140
55,XDawgs,5844617767730000000000000000000000000000,raKhUVtNw6B892bKtATUT3frX35oawfsey,30091,175,29923,175,347.9649810618646,0.005848344083146743,7,0.04,161
56,BANDIT,42414E4449540000000000000000000000000000,rpC6LnTaBMxUAVP8jpnYEzGSsvdZvweyoz,3814,3801,155,155,297.85389282103137,0.040778742436201,142,0.9161290322580645,2029
57,BOREDBOYSCLUB,424F524544424F5953434C554200000000000000,rLyWf7yyZj9uiF3b6XhagzY2XDWFHx3LJs,3736,3680,155,155,297.470664928292,0.042119565217391304,99,0.6387096774193548,2533
58,Goofy,476F6F6679000000000000000000000000000000,rafpeg1fdT6UGdvYTfeDNDsmtJkMmc64vG,1963,1900,150,150,278.0487804878049,0.07894736842105263,87,0.58,1487
