token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
536572656E697479000000000000000000000000,rNBJNmRBFSyzwfxbsyBx49FqN6sZy74YLz,2099,0,2099,2099,1625,0,0
6D58525000000000000000000000000000000000,rfmS3zqrQrka8wVyhXifEeyTwe8AMz2Yhw,2077,0,90,90,71,2060,1987
XIO,rfuzioNFTKArnU1PQD5BEF272vpbHMRoxU,2058,50,300,300,204,1899,1808
42697465436F696E000000000000000000000000,rpvmeBVhN5XiBj4Ss8qDiu3ab5wR7a92QW,2006,17,1996,1996,1176,36,27
USD,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,1999,249,335,335,326,2377,1913
4845444745000000000000000000000000000000,r3GXGxZe8obcMS9L9LMm32NZrW5VCuNDxR,1982,10,1982,1982,1332,10,10
476F6F6679000000000000000000000000000000,rafpeg1fdT6UGdvYTfeDNDsmtJkMmc64vG,1963,87,1900,1900,1487,209,150
636F7265756D3763386562323965303700000000,rxXXXeMX8Gy5YvibvGLnQJ1XKKD7UswM1,1958,49,1758,1758,1143,256,249
4152454133323100000000000000000000000000,rDRfcV2szPFMb42zik3xHhv3F3reepRbGi,1926,13,1924,1924,1319,16,15
4C45444745524755590000000000000000000000,rEUo2P65TfnhksXuietsjxUFCyYiiK83F5,1923,12,1869,1869,1359,66,66
CSC,rCSCManTZ8ME9EoLrSHHYKW8PPwWMgkwr,1900,17,1818,1818,1441,111,99
4749474100000000000000000000000000000000,ra74RsrET14Jzz9sGBgzdo1C1AdzMQTZ65,1867,0,1867,1867,1775,0,0
57494E4400000000000000000000000000000000,rnh3kiVFSBJxhwa7RJmmafQrqhyn9SKyCj,1866,1,1866,1866,973,1,1
5852504800000000000000000000000000000000,rM8hNqA3jRJ5Zgp3Xf3xzdZcx2G37guiZk,1829,40,1791,1791,1469,92,78
4E494E4A41000000000000000000000000000000,ra95eq95VCqoRqsiNnfvbf2QC2stqbM2Cg,1807,30,1807,1807,1036,31,30
77656C7468000000000000000000000000000000,rDSEfDcJ5UzQyK3UNmUDGvZT1Z7cmoiFv7,1757,0,1757,1757,1232,0,0
504F4C4943450000000000000000000000000000,rfjutsDJfakrhZUPMBe5E65S38eRZEP3yt,1750,10,1748,1748,841,12,12
47756E706F77646572506C6F7400000000000000,rDfAMLUg5HxxwGHgsjzguMtawiZRTwGGX6,1700,0,1700,1700,1324,0,0
5461626279000000000000000000000000000000,rsU4M9r6MZ6nhZZvFSiK8uWfq4hfz8188t,1695,3,1695,1695,1662,3,3
58525079726F0000000000000000000000000000,rHqQ84DqPBbd5dRmhGAHrQ7eW3DCkbR9va,1682,0,1681,1681,539,1,1
4348414F53000000000000000000000000000000,r9x2gBJncTSo8kK3kf7qE5qYoJCfSQoEkq,1681,9,1669,1669,1185,21,21
4469616D6F6E6468616E64730000000000000000,rHM5Er4wtp2tcEGkftCjVchjosRMvwmkiw,1650,26,1649,1649,903,28,27
414E4F4E00000000000000000000000000000000,rPqwWemVGUx92bnu8UxnqzU1ovgxtXMKJ5,1647,0,1645,1645,1345,2,2
EVR,ra9g3LAJm9xJu8Awe7oWzR6VXFB1mpFtSe,1602,24,1570,1570,1315,68,56
58434F5245000000000000000000000000000000,r3dVizzUAS3U29WKaaSALqkieytA2LCoRe,1584,21,1548,1548,870,57,57
5442494C4C000000000000000000000000000000,rTBLjLp1sWxCrMPjKruhaDrEB61wy4X36,1571,80,724,724,491,927,927
ASC,r3qWgpz2ry3BhcRJ8JE6rxM8esrfhuKp4R,1539,18,1518,1518,1097,81,39
XLM,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,1527,65,986,986,739,655,606
5852504150455300000000000000000000000000,rEMmCnVGgP8hQu1fUdqdEUBYGT6yPGLAhJ,1519,0,1519,1519,1513,0,0
5852505400000000000000000000000000000000,r3cTmDmasFg2wQdeCejNZP7XW6FWkDfUsN,1488,0,1488,1488,1488,0,0
BXE,rM1J2Mc2eCSFpCz5QXxhDG2KWkGQWgy87r,1487,121,1311,1311,1080,449,297
52454E5400000000000000000000000000000000,rBqPBbBXLJVZMBjLgag6E3wnrKndjsnNxq,1476,17,1444,1444,967,49,49
5745544800000000000000000000000000000000,rfmS3zqrQrka8wVyhXifEeyTwe8AMz2Yhw,1446,3,1013,1013,883,441,436
4241495400000000000000000000000000000000,rGTnopFjup5mWBeCPVexX5FwXp1T4ignNS,1432,7,1425,1425,1032,14,14
5852504C4F4C0000000000000000000000000000,rMDfsTapNvFSo7irSe6gYpPmYj3EjqbcqF,1424,1,1412,1412,1108,13,13
ISO,rUNkZK3u73esfSjY2ee3U1yzAhCcFYBhEN,1415,0,1415,1415,1157,0,0
564947494C000000000000000000000000000000,rf8KtB6FFvWc756pfu6cuYeuohE8aHmpUo,1392,23,1385,1385,779,34,30
4461726B00000000000000000000000000000000,r3PxjoJYuscu73YhhkYq5DPV2X5fqSr4CS,1391,8,1390,1390,857,10,9
SGB,rctArjqVvTHihekzDeecKo6mkTYTUSBNc,1386,26,1263,1263,1041,156,149
434F444544000000000000000000000000000000,rnNErmg9xVmcxxNZUwivbJSH6i9GUwYPFj,1371,20,1371,1371,761,20,20
7372667800000000000000000000000000000000,rDgBV9WrwJ3WwtRWhkekMhDas3muFeKvoS,1358,102,1067,1067,753,393,393
484F4F5241480000000000000000000000000000,rLKdefbpxA6GWjwWrxHUWbqPhyh2ndJW9k,1333,22,1326,1326,931,30,29
IOU,rwPm1ifE8ofuw5hcP9RCYkCuk92aTw9M5c,1311,23,1297,1297,1012,38,37
43484F4B45520000000000000000000000000000,rN77kMsvfcLprrPiboFfKkH64VEqGGLf9Q,1310,23,1308,1308,788,26,25
5A61696F73000000000000000000000000000000,rLgtidvwREUT7six9n5Y7sE9JnieZTkfB5,1308,7,1306,1306,759,9,9
584D415347555900000000000000000000000000,rw7RyG9FvrSsFAL7MZmV1BstW5WDyqdQMJ,1302,9,1301,1301,639,13,10
4261616C7A000000000000000000000000000000,rGSwkiwZu3WELNsLFaXhwtDEvoFLZpmPNH,1294,31,1279,1279,983,50,46
